Year,Stadiums,Division,G,GS,PA,AB,Runs,Hits,Doubles,Triples,Home Runs,RBI,SB,CS,BB,SO,BA,On-Base Percentage,Slugging,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,Elevation,Latitude,Longitude
2018,ATL-SunTrust Park,NL East,2436,162,6233,5493,748,1342,278,24,146,715,101,35,577,1324,0.244,0.322,0.383,0.705,2106,114,69,49,44,56,55,0.294,95,100,1050,33.8908,-84.4677
2018,MIN-Target Field,AL Central,1565,158,5994,5334,748,1372,309,23,168,708,61,24,549,1290,0.257,0.331,0.418,0.749,2231,103,57,16,38,26,40,0.308,106,100,840,44.9817,-93.2775
2018,TBR-Tropicana Field,AL East,1660,162,5996,5329,655,1271,241,34,147,605,111,40,519,1418,0.239,0.312,0.379,0.692,2021,114,78,15,54,19,44,0.294,91,100,23,27.7683,-82.6534
2018,CHC-Wrigley Field,NL Central,2435,164,6266,5478,734,1392,256,34,165,705,79,40,614,1319,0.254,0.334,0.404,0.738,2211,107,68,52,49,46,57,0.304,104,100,594,41.9484,-87.6553
2018,NYY-Yankee Stadium,AL East,1621,162,6249,5536,805,1408,268,15,239,774,71,27,596,1495,0.254,0.33,0.438,0.768,2423,93,56,14,47,16,49,0.304,111,100,7,40.8296,-73.9262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
